tarih,puan,yorum
2021-02-18,4,"Uygun fiyat , hızlı teslimat. Paketlenmesi biraz daha özenli olabilirdi. Bukadar pahalı bir cihazı basit bir karton kutuya koyup bantlamışlar. Ama sorunsuz teslim aldım. Bir yıldızı da oradan kırdım. Onun dışında kutu kapalı geliyor. Tğm aksesuarları bandrollü,  açılmamış, ellenmemiş. Ambalajları bantları üstünde idi."
2021-02-03,5,"Dünyanın en iyi konsolu. Diğer rakip arkadaşı alacak olanalra söylüyorum. xbox da game pass diye bir şey var para vermeden onlarca yuzlerce oyunu oynayabliyorsunuz. Haa ama ben çok zenginim god of war oynucam  oyuna para vericem diyorsanız  onu da alaiblirsizin. Sizin bakış açınıza bağlı.  

Mesela biz dayımla birlikte oynuyoruz. Bi oyun bitmeden diğer oyuna bi oyun bitmeden yine diğer oyuna geçiyoruz. Oyun cenneti resmen. Dayım mutlu ben mutlu."
2021-09-02,5,"bayan bi arkadaşla bi kaç kere konuşmuştuk menşei icin çok iyi davrandılar saolsunlar,ürünü kargolarken aradılar ve ellerinde Dubai menşeli ürün olduğunu söylediler,bende kabul ettim gelen ürün çin menşeli,ürün geldi daha da iyi çünkü son sürüm,bayanda çok nazik ve anlayışlı biri, ürünü teslim aldım ürün sıfır ilk siz açıyorsunuz tüm etiketlerini vsvs ürünü,yandan açıp içine fişin ucuna takilan çevirici koymuşlar okadar, içinden duracell pil dahi çıkıyor, Ürün ithalatçı garantili dediklerine bakmayın cihazı kaydettim tam 345 gün Microsoft garanti oldu,Microsoft&#039;u aradım evet dediler orginal son sürüm Xbox series x,firma bile bilmiyor ürünün Microsoft garantili olduğunu sonraki garanti firmaya ait,fatura yoktu koli üstünde sanırım kargocular kopardi istedim hemen gönderdiler,inanılmaz iyi bir cihaz,ürün 2021 27 mayista üretilmiş,herşey sıfır aklınızda şüphe kalmasın, Hepsiburada kampanyasına denk geldim dahada mutlu oldum"
2021-07-28,5,"İki tane cihaz var biri nedense daha ucuz(xbox series x 7.500 PlayStation 5 -10.000) birinin kontrolcüsü diğerinden daha iyi(PlayStation kontrolcülerin neredeyse hepsinde analog dirift sorunu çıktı ki bu sorun çıkan kardeşlerim varsa hiç gidip yeni bir kontrolcü almasınlar v2 yi beklemek zorundasınız.ben ps4 ümde böyle 4 tane kontrolcü attım bu ps5 te daha ilk 3 ayda bu sorun çıkıyorsa 1 senenin sonunda bu sorunu kesinlikle yaşıyacaksınız.bilen bilir gerçek fps oyuncusunun ilk yaptığı şey ayarlardan titreşimi kapatmaktır yani titriyo öyle hisli böyle hisli gerçek oyuncunun umrunda olmayan şeyler)birinin depolaması daha yüksek(xbox series x 800 gb PlayStation 5 600 gb ki bu depolama 4 le aynı neredeyse)birinde sürekli olarak bi yazılım desteği var hergün bir oyuna fps boost desteği geliyo PlayStation da eski oyun desteği bile yok.bir konsolda oyunlar 600 liradan kapı açıyor birinde yarı fiyatı(burada gamepassten bahsetmiyorum o ülkemize sunulmuş bir armağan kardeşlikle 22,5 liraya aylık neredeyse bedava 300 e yakın oyun oynayabiliyorsun.bahsettiğim şey micrasoft store ve PlayStation store fiyatları ki bunu oyun medyasında kimse ağzına bile almıyor,yeni oyunlar ikisindede pahalı fakat bir whitcher 3 gidip bakın playstation store da 200 lira olduğunu micrasoft store aynı oyunun 40 lira olduğunu görüceksiniz)bi konsol daha güçlü daha sessiz ve daha serin.ama sen yinede 6 yılda bi tane god of war oynuyacağım diye(last of us 2 yide ps4 e çıkarmak elinde ki tek kozu nasıl bi kafadır bilemiyorum)PlayStation almak istiyorsan sen bilirsin kardeşim:)"
2022-03-28,3,Ürün paketi darmadağın geldi ürün tek parça olduğu için şanslıyım. Köşelerinde de ezikler mevcut çalışmasında bir problem olmadığı için iade etmedim.
2021-08-08,1,"Kutu kesinlikle onceden acilmisti, ne olur ne olmaz diye kutuyu acmadan once videosunu cektim. Kutu disindaki bantlar orjinal xbox bandi degildi ve iclerinde hava vardi, kutu ezilmis ve kucuk bir kismi yirtikti, kutunun icinde kablolarin oldugu yer bariz sekilde acilmis ve egriydi, xboxda yeniden paketlenmis buda bant vs den barizdi. Zaten kumanda dugmesine basinca xbox acildi :) buda kumanda onceden xboxa tanitilmis ve kullanilmis demek. Urunde bir sorun yok ama ilerde sorun olursa bu videoyu gosterip tamir degil degisim talep ederim. Urunde sorun olmadigi icin iade ile ugrasmadim. Cok pahali aletler bunlar, acilmis kutu hos degil."
2021-06-01,5,"İki Ps5 ve Xbox Series x konsol sahibiyim... İki konsolda çok güzel. objektif karşılaştırma yapacak olurak xbox store ps store a göre fiyat açısından daha uygun... xbox store 1/4 daha uygun aynı oyunlarda genel olarak...

Xbox ps5 e göre daha sessiz çalışıyor. Xbox kolu xbox one koluyla nerdeyse aynı.. hatta yeni kolun tetik tuşlarını pek beğenmedim boyutları daha küçük ve tuş basımı daha sert olmuş. PS5 kolu xbox koluna göre çok daha keyifli şarj edilebilir olması çok bence daha pratik olmuş ben PS5 i çift kol kullanıyorum stand ile bir kol şarj olurken diğeri ile oynuyorum kolun şarj azalınca diğerine geçiş yapıyorum. gayet pratik bence... Bu arada yeni kolların pil tüketimi muazzam gün aşırı şarj edilmesi gerekiyor 6-7 saatlik aktif kullanımda şarjı tükeniyor... Xbox tarafında ise bolca şarj edilebilir pil gerekiyor. xbox one koluna göre yeni kollar daha çabuk pilleri tüketiyor. eski konsolun kolu series x de çalışıyor ve daha konforlu kullanımı var bence. Kullandığınız pillerin zamanla voltajı düşünce, kola şarjlı dolu pil taksanız dahi  kol çalışmıyor tabi bu şarjlı pilleri 1 yıl kadar kullanırsanız oluyor.

İki konsolda çok güzel fan boy olmaya gerek yok hangi konsolu tercih ederseniz tercih edin yanlış bir seçim olmaz..."
2022-02-02,5,"Harika bir makine. Kesinlikle PS5 yerine düşünülmeli. Sistem özellikleri PS5&#039;ten daha güçlü  olmasına rağmen ülkemizde çok daha ucuz. Aynı kalitede PC toplamak için neredeyse 2 tane Series X alacak kadar para harcamanız gerekir. Daha uygun fiyat arayanlara Series S&#039;i de tavsiye ederim, fakat grafik kalitesinden taviz vermiş olursunuz hâliyle. &quot;Oyunlar için Netflix&quot; olan Game Pass ile birlikte yüzlerce oyun oynayabiliyorsunuz. İnternetten nasıl ucuza yıllık üyelik alabileceğinizi bulabilirsiniz. Master Teknomarket&#039;e teşekkürler. Çok ilgiliydiler, hemen sorularımı yanıtladılar. Ürün Birleşik Arap Emirlikleri menşeli ve Silopi&#039;den yollandı. Sürat Kargo ile gönderildi ve 3 günde ulaştı bana. Kutunun dış yüzeyinde çok hafif bir yırtık var ama önceden de olabilir. Çok sağlam paketlenmiş hiçbir hasar yok içindekilerde. Kutu hiç açılmamıştı, güvenlik bantları duruyordu. Microsoft&#039;un sitesinden cihaz kaydı yapınca 2 yıllık garantisi onaylandı. Kutunun içinden çıkan fiş Birleşik Krallık tarzı / G tipi. Ürünün yanında Fetih marka priz dönüştürücü de yolladılar. Fakat kaliteli IEC C7 tipi fiş bulursanız, ki bu fiş PS4&#039;te de kullandığımız tip, dönüştürücü ile ısınma ihtimalinin önüne geçmek için kullanabilirsiniz. Ben şimdilik öyle yaptım. Tekrardan satıcıya teşekkürlerimi iletiyorum."
2021-02-16,4,"Merhaba, öncelikle ürünü Ankara&#039;dan sipariş ettim 5 şubatta sipariş verdim 15 şubatta geldi. Kutulama iyidi teslimat beklediğimden daha hızlıydı. Yani kırılır mı ezilir mi korkusu olmasın içinizde hiçbir sıkıntı yok sadece kutunun sol alt kısmı hafif ezilmişti. Onun dışında ürün tamamen orjinal hiçbir sıkıntısını görmedim şuanlık. Playstation ile arasında kaldıysanız kesinlikle şiddetle Xbox&#039;u öneriyorum size, Gamepass ülkemiz için bulunmaz bir nimet."
2022-05-03,5,"Orijinal ürün, yükledik bir sorun yaşamadan. OĞLUM ÇOK AMA ÇOOOK MUTLU, EN ÖNEMLİ DE BU. Hepsiburada&#039;ya teşekkür ediyorum, hep bizimle oldu için"
2022-04-11,5,Gereksiz bir alışveriş oldu ama bi kenarda dursun lazım olur diye aldım.
2022-04-12,5,Fiyat yüksek kabul ediyorum fakat fark inanılmaz.. tavsiye ederim..
2021-03-24,5,"Kargo iki gün sonra elimde oldu. Konsol kutuları darbe emici özelliğe sahip olmasına rağmen, satıcı ekstra bir kutuya daha koymuş. Konsol kutusunun bir köşesinde ezilme mevcuttu ama dediğim gibi darbe emici özellikleri olduğu için kutuya çok fazla takılmaya gerek kalmıyor. İlk ben açtım el değmemiş durumdaydı. ilk konsolum XBOX 360&#039;dı sonra ps4 geçtim tekrar xbox&#039;a dönmek çok iyi oldu özellikle oyun fiyatları konusunda... Diğer arkadaşlar genel değerlendirme yazmışlar, zaten youtube bir sürü test videosu mevcut fakat nacizene tavsiyem ;  ortalama bir oyuncuyum diyorsanız gamepass ile birlikte xbox size ilaç gibi gelecektir."
2022-03-14,5,Satıcı iyiydi ürün zaten belli.
2021-10-19,5,Kesinlikle mükemmel
2021-03-05,5,paketleme normal dereceydi. teslimat hepsijet farkiyla mukemmeldi.konsolun hizi ve grafikleri harika.
2021-03-16,5,"Söz verildiği gibi geldi en uygun fiyata,ayrıca iyi ve hızlı kargo."
2021-03-17,5,Ürünü ilk kendimiz açtık. Kargo hızlı ve sağlam paketlenmiş geldi.
2021-03-23,5,"PS&#039;den Xbox&#039;a geçtim, tavsiye ederim."
2021-06-25,4,Görseldeki ile alakası yok ama yinede de güzel ürün.
2021-06-29,4,takınca 360 derece dönüyor. tam harika olacakmışta vazgeçmiş gibi bi yapısı var.
2021-06-05,4,Farklı renk geldi
2021-09-09,1,Istedigim irun gelmedi banbaska birsey  gondermisler. Iade etmeye usendim.
2021-09-11,1,Alakasiz bir urun geldi
2020-11-21,5,"Ön sipariş ile almıştım HepsiJet teslimat noktası ile sorunsuz hızlıca geldi çok güzel bir sistemmiş. Ürün kutusu ek bir dayanıklı sert bir kutunun içine konuşmuş şekilde geldi. Aynı anda sadece kaliteli yapımlardan en fazla 3-4 oyunu oynamak ve bunlara yüklü bedel ödemeden GamePass (Ultimate) servisi ile ulaşmak için aldım. Microsoft&#039;un yerel fiyatlandırma politikası ile paralı oyunları diğer konsollara göre daha ucuz tutması benim için ek bir neden Xbox tercih etmede. Günümüzde 6-7 yıl gidecek bu seviyede oyun bilgisayarı toplamaktan vergilerine rağmen çok daha ucuza geliyor bunu alıp geçmek. Vaktini tamamen oyun ile geçirmeyen eve gelince hızlıca hazır olan ve onu günde en fazla birkaç saat kullanacak benim gibi birisi için bu konsol ve 512 Gb yeterli. Cihazın 2K&#039;dan 4K&#039;ya yükseltme özelliği güzel çalışıyor, 50inç 4K Tv ile aramda 3 metre mesafe var ve görüntü muhteşem. Yabancı kaynaklarda da upscale vs native farkını ekranla aranızda ki mesafe 2 metre sonrasında pek fark etmiyorsunuz yazmışlar. Evde TV rafında tuttuğu yer çok küçük rafın neredeyse yarısı boş kalıyor. Fanı üstte kaldığı için arasında biraz mesafe olan rafı seçin yada ayarlayın ki hava sirkülasyonu olsun hem yanında hem üstten. Media Center gibi çeşitli platformların uygulamaları yüklenebiliyor. Cihazın arayüz, sistem ve ayarlar vb. çok akıcı oldukça kolay hallediliyor. Pahalı olup kısa sürede eskiyen çeşitli bilgisayarlardan ve neredeyse iki katı fiyatlı konsollardan daha mantıklı. Herşeyden şikayetlenen ve hiçbir şeyi beğenmeyen ülkemizdeki güya teknoloji editörü bilirkişi geçinen insanların olumsuz söylenmelerine bakmadan alın geçin. Kısacası sizde böyle birisi iseniz almanızı tavsiye ederim çok memnunum. Teşekkürler Hepsiburada."
2021-02-23,5,"Xbox one x den hemen sonra xbox series S e geçmiş biri olarak konsoldan çok çok memnunum. 4k tv im var ama xbox series S e bütçemiz yetti anca.. Konsolu alıp almama konusunda kararsız kalanlar! böylesine avantajlı fiyatlara inmişken kaçırmasınlar derim. Yakında ve telefon fiyatları yükselişe geçecek tekrardan.Sonra ah vah edersiniz söyleyeyim. Konsola gelecek olursak, ssd çok önemli bi faktör tabiki ama kimse yeni jenerasyon oyunlardan bahsetmemiş. Konsol one x den güçsüz falan değil. Eski nesil oyunlarda xbox one x in çözünürlüğü birazdaha iyi ama söz konusu yeni jenerasyonun oyunları olunca xbox series S  xbox one x i tokat manyağına çeviriyor. Bundan sonra çıkacak her oyunun yeni jenarosyona uygun olarak çıkacağını varsayarsak, yeni neslin bu şirin versiyonu geçmiş nesillerin en iyisinden çok daha iyi. Mesela Fifa 21 in eski jenerasyonu ile yeni jenerasyonu arasında müthiş farklar var öyle böyle değil.Yeni nesil konsol varken eski nesil konsol 50k çözünürlükte olsa kaç yazar..xbox series S mi yoksa one x mi? 
 yada one x den Series e geçeyim mi diye çok fazla düşünmeyin. Yeni nesile geçmek her şekilde mantıklı."
2021-12-03,5,İndirimde yakaladığım bu ürünü alarak en doğru kararı verdim. Bu kur oranıyla istediğiniz oyun zevkini sonuna kadar hissedeceğiniz bir konsol. Ayrıca Nethouse&#039;a ayrıca teşekkürler öyle bir paketlemişlerki açana kadar yorulduk. Pazartesi akşam verdiğim sipariş. Perşembe sabahı elimdeydi. Görsellerde görüldüğü gibi sıfır problem ile oyun zevkini sonuna kadar yaşıyorum. Ayrıca Gamepass ile bir oyuna 500₺ vereceğime aylık 30₺ye 100lerce oyuna erişiyorum. Teşekkürler.
2021-09-24,5,"Edindiğim ilk konsol olduğu için önceki nesillerle kıyaslama yapmam pek doğru değil ama bu nesil için işinizi kesinlikle göreceğine eminim. Öncelikle ülkede oyun fiyatları almış başını gitmişken, yeni çıkan Playstation oyunları 600-700 liradan ucuza satılmıyorken, Xbox ve Microsoft&#039;un Game Pass gibi bir sistem sunuyor olması bulunmaz bir nimet. 200&#039;den fazla oyun içeren kütüphanesine ayda 30 veya 45 lira ödeyerek erişebiliyor olmak hiçbir zaman oyunsuz kalmamanızı garanti ediyor. 
Bunu mu yoksa Series X mi alsam diye düşünüyorsanız tek bir kritere dikkat etmelisiniz. Elinizde 4K bir cihaz var mı yok mu? Yoksa Series X almanıza hiç gerek yok. Bunun dışında performans bakımından her ne kadar Series X daha güçlü olsa da, bu nesil boyunca her oyun aynı zamanda Series S&#039;e de geleceği için, her oyun özel olarak optimize edilecektir ve dolayısıyla Series S kullanan birisi de yakın gelecekte herhangi bir performans sorunu yaşamayacaktır, ki zaten satılan veya GamePass&#039;e gelen her oyun gayet iyi ve bana kalırsa yeterli grafiklerle ve performansla oynanabiliyor.
Tek eksi olarak sayabileceğim yanı 512GB olan depolama alanı. Cihaz elinize ulaştığında kurulum yapabileceğiniz yaklaşık 360GB kalıyor, ki bu küçük oyunlar için sıkıntı olmasa da, yeni çıkan büyük çaplı oyunlardan aynı anda birden fazla kuramamanıza sebep olabilir. Eğer oyunları oynayıp, bitirip, silen biriyseniz sizin için pek sıkıntı olmayacaktır ama oyunlarım her daim hazır bulunsunuz derseniz biraz sıkıntı yaşayabilirsiniz. Kıyaslama için belirtmek gerekirse Series X konsolunun da 1TB&#039;lık bir depolama alanı var ve bunun da yaklaşık 850GB kadarı kullanılabiliyor, ki bu da demek oluyor ki kullanılabilen alan Series S&#039;e kıyasla iki kattan daha fazla.
Toparlamak gerekirse, Series S kesinlikle zayıf bir konsol değil. Fiyatının diğerlerine kıyasla daha makul olması onu çok avantajlı duruma getiriyor. Beklentilerinizi buna göre ayarlarsanız yıllar boyunca hiçbir sıkıntı yaşamadan kullanabileceğiniz bir cihaz olacaktır."
2022-04-17,5,Urun sorunsuz ve hizli bir sekilde elime ulasti. Gerek gamepad gerekse de urun gayet guzel sekilde calisiyor. Bircok oyunu yukleyip denedim ve urunden tamamen memnunun.
2021-08-11,5,Microsoft Türkiye garantili olsun diye biraz fazla ödedik ama yine de piyasanın en uygunu idi. Makina zaten 10numara!
2022-03-04,4,Gelen kargoyu fotoğrafta görmektesiniz. ürün ile ilgili bir sorun yok ama kargolama..
2022-04-24,5,Beklediğimden çok daha iyi bir oyun performansı ile karşılaştım pc olmasına rağmen konsol merakım sebebiyle aldım fps oyunlarında alısması çok zor oldu ama oyunların akıcılığı ve oynanısı çok iyi microsoft market sayesindede oyun oynamasakta tüm uygulamalara appletv netflix vs erişebilmek güzel
2020-11-16,5,Ön siparişle aldığım ürün beklenmedik bir biçimde 10 kasımda erkenden teslim edildi. Hepsiburada güvencesiyle yeni nesile başlamış olduk.
2021-04-27,5,"Ürünü Teknozoom&#039;dan aldım. Belirtilen kargo tarihinde kargolandı ve teslim edildi. İlk olarak şunu belirtiyim, birisi içinden ithalatçı garantili çıkıyor demiş ama hayır, 2 yıl microsoft garantili. Hesabınızı xbox ile bağladığınızda microsoftun kendi sayfasına kendisi kaydediyor ve orada 2023&#039;e kadar garantili olduğunu görebiliyorsunuz. Cihaza gelince, şubatta ps5 alıp 1 ay kadar kullanıp sattım. Şimdi xbox series s&#039;e geçince zevklerimin o kadar pahalı ürüne gerek olmadığını görmüş oldum. Benim gibi sadece Fifa-UFC- Sea of Thieves- Warzone gibi oyunları oynuyorsanız işinizi çok rahatlıkla görür. Saydığım oyunları 60-120 fps güzel grafikte oynatabiliyor (grafik açısından bu oyunlar ps5 halinden farkı yoktu tabi 1080p monitörden bahsediyorum). Benim için şu anda depolama hariç bi eksisi yok, depolama sorununu harici harddisk ile çözmeyi planlıyorum, en azından gamepassteki oynamak istedim eski-hikayeli oyunları harddiske atacağım. Alıcılara hayırlı olsun, öneririm."
2021-08-10,5,"En son konsolum ilk playstation idi. Çok uzun süreler PC&#039;den oyun oynamış biri olarak yapıyorum yorumumu. Koltuğa uzanıp oyun oynamak gerçekten de özlediğim bir şeymiş. Gelelim konsolun artılarına eksilerine. 
Artıları:
Kasa minicik. Her yere rahatlıkla götürebilir, bir televizyona takıp oynayabilirsiniz.
Hiç fan sesi duymadım.
Oyun oynadınız sonra kapatıp başka oyuna geçtiniz, inanılmaz hızlı açılıyor. 
Quick resume dedikleri bir nane var konsolu kapatsanız da açtığınız zaman hiçbişey yapmadan kaldığınız yerden devam ediyor oyun. 
PS4 koluyla fifa oynamaya alışmış biri olarak xbox koluna alışabileceğimden emin değildim. Ancak düşündüğümden çok daha rahat ettim. 
Paylaşım butonu eklemişler bir tane. Bununla yakaladığınız ekran görüntüsünü direkt telefonunuzdaki xbox uygulamasına atıyor ve oradan da istediğiniz herkesle whatsapp&#039;tan paylaşabiliyorsunuz. 
Kola takılan telefon kulaklığı sayesinde TV&#039;nin sesi kapalı bir şekilde kimseyi rahatsız etmeden geceleri oyun oyanyabiliyorsunuz. Hatta aynı kulaklıkla xbox kullanan yada pc&#039;den xbox ile oyun oynayan arkadaşlarınız ile sesli sohbet edebiliyorsunuz. 
Konsol ile gelen duracell piller yaklaşık 10 günde  her gün 3-4 saat oyun seansları ile bitti. Bence yeterli bir süre. Zaten şarjlı pil kullanmak gerekiyor bittikçe değiştirilir. 
Gamepass ile 100den fazla oyun&#039;u aylık uygun bir fiyatla oynamak da cabası. 
Eksilerine gelecek olursak:
Bikere grafikler Bilgisayardakiler kadar kaliteli değil. 
120 FPS tutturalım diye grafiklerden kısmışlar haliyle. Fakat bu koltuktan TV karşısında oyun oynarken çok farkettirmiyor. 
Konsol biraz fazla ısınıyor gibi geldi ama yaz olmasının da etkisi olabilir. 
Bir de discord kurulup kullanılabiliyor olsaydı tadından yenmezdi."
2021-08-17,5,Xbox series S güncel en güzel oyun konsolu erişilebilirlik mükemmel PlayStation ile asla kıyaslamam bile
2021-11-25,5,Çok teşekkürler master tekno. Ürün 2 günde elime ulaştı.. ufacık bişey cok şirin bişey umarım performansta görüntü gibi olur. Satıcı ilgiliydi ürün kapalı kutuydu dönüştürücüyü yanına montelemişler
2021-10-02,5,Öncelikle ürün 0 bunu belirteyim ancak irili ufaklı eksikler mevcut kutusu deformeli ve açık geliyor büyük ihtimal bütün ithalatlar mi böyle yoksa belli seriler mi böyle anlamadım cevirici koyulmak için mi açıldı oda ayrı durum satıcı fatura yollamış ancak oyun konsol u yazıyor sadece cihazın marka model seri numarasi yazması gerekir şuan eksiklikler bunlar onun haricinde cihaz 0 kurulumunu yaptım bı sorun yaşamadım şuan için en iyi oyun aracı Xbox series s dir fiyatı en uygun cihazdır safkan oyun oynamak isteye. Alsın keyfine baksın saygılar diliyorum.
2022-03-05,5,Ürün 2 günde elime ulaştı. Kutusunda hafif hasar olsa da içi sağlamdı. Game pass ile yüzlerce oyunu uygun fiyata oynuyorum. Depolama kısmında bize 361GB&#039;lık yer veriyor. Bunu harici diskle arttırabilmemiz bir avantaj.
2021-10-21,4,"Kargo ufak hasarlı geldi ama ürün iyi çalışıyor bir sıkıntısını görmedim.

Ürün birleşik Arap emirliklerinden gelmiş

Şu devirde alınacak en iyi ve uygun şey oyun için Xbox series s. Puanım ürüne 5 TE 5 fakat kutuda az biraz hasar vardı bilmiyorum kimin suçu, bae den gelirken mi oldu yoksa kargocu mu yaptı.
Ayrıca kargo kutusunda da delik vardı belli ki iyi taşınmamiş"
2021-10-23,5,Ürün sorunsuz ve hızlı bir şekilde elime ulaştı. Power kablosu dönüştürücü ile birlikte geliyor. Teşekkürler.
2021-11-10,5,"Özellikle benim gibi PS4 parlak kasadan geçiş yapanlar için muazzam bir seçim diyebilirim XBOX Series S cihazı için. Çok kibar bir tasarımı var, fan gürültüsü asla yok, menü ve oyun geçişleri harika… Kısacası premium bir oyun deneyimi sunuyor. Ps4 ile kıyaslanamayacak kadar iyi. Rahatlıkla söyleyebilirim ki daha ilk günden cihazın kalitesi beni fazlasıyla memnun bıraktı."
2021-08-30,5,ürün gayet güzel kutu içerisine adaptörü konulmus bir sekilde geliyor  ürün 1 yıl ms resmi garantilidir  fazla paraları veripte 2 yıl garantili almaya gerek yok aynı cihaz üretim tarihleri yeni zaten bana gelen cihaz arabistan cihazı olup 5 haziran 2021 üretim ürün  doha elektronige bu fiyatı sagladıgı için deşekkür ederim
2022-04-29,5,"Fly teknology den aldım gayet temiz ve sağlam geldi kutuyu kendim açtım sıfır tertemiz yanında prizler için dönğştürücüde koymuştular,teşekkürler fly teknology bir numarasın 👍"
2021-02-27,5,"Güzel paketleme
Hızlı kargo (17 saatte teslim edildi)
1080p monitörümde oynayacağım için bu ürünü seçtim, 4k monitörünüz yoksa daha fazla para vermenize gerek yok bence.
Gamepassde çok fazla oyun var doğru ama bi açıp gamepass oyunlarına bakın. Bu oyunları gerçekten oynar mısınız yoksa bu oyunlar sadece güzel bir reklamla sunulan ama aldıktan sonra size ‘ee ben ne oynayacağım’ diye düşündürecek şeyler mi olacak."
2021-12-12,5,"İlk çıktığı günden beri takibimdeydi ürün vergiler düşünce birazda makul indirim olunca Nisan 2021 de aldım cihazı

Cihaz 2K (1440 P) çözünürlükte 60 Fps destekliyor fakat her oyunda oyunların ona göre optimize edilmesi gerekiyor. 4K çözünürlüğe upscale özelliği var fakat görüntüdeki kenar kaplamaları piksel piksel oluyor, cihaz 4 Teraflops gücünde Ps4 Pro 4.4 teraflops gücünde yeni nesil işlemci gpu olduğundan performans eksikliği hissetmiyorsunuz aksine ssd ye geçiş olduğu için oyunlar çok kısa sürede açılıyor tek eksisi hafızası sistem 160 Gb gibi devasa alan kaplıyor oyun yüklemek için 360 Gb bir alan kalıyor Rdr2 gibi büyük oyunları yükleyince 2-3 oyun anca alıyor bu sorunu bir harddiskle çözebilirisiniz fakat oyunlarda hızlı geçiş özelliği çalışmıyor ve harddisk olduğu için oyunlar daha geç açılıyor biraz paraya kıyıp Pcler için satılan Ssd ve bir tane usb to Sata 3 kablo alırsanız yükleme sürelerini 5 kata kadar hızlandırabilirsiniz, cihazı klavye mouse desteği var Cod Warzone oyunu bunu destekliyor bazı başka oyunlarda destekliyor. Kısacası ülkemiz ekonomisi şartlarında oyun oynamak ve klavye mouse bağlayıp nette gezebilmek için alınabilecek en iyi fiyat/performans ürünü"
2021-11-13,5,"Alacak arkadaşlar gönül rahatlığı ile alabilirler. Kutu ilk geldiğinde özenle paketlemişti , açarken dikkat ettiğim konu kutuda herhangi bir hasar yoktu ve garanti bantları tamamen kapalı haldeydi. İlk defa tarafimca açıldı. Ürün Türkiye ürünü. Garanti süresi önceden başlamış yurtdışı ürünü değil. Satıcıya özeni ve hızlı teslimatı için tesekkur ederim. 2 gün içinde elime ulaştı. Ürünü alacaklar şüphe de kalmasın, 4k tv de sahneler sanki gerçekmiş gibi oynuyorum. Herşeyi ile mükemmel bir ürün. Bilgisayarın kastı kasmadı derdine son verdi.
Teşekkürler nethouse"
2021-03-18,5,Hızlı sorunsuz teslimat
2021-03-26,4,"Her ne kadar ürünün kendi kutusunda korumaları olsa bile , bence bu tip elektronik cihazlar için kargolarken satıcıların extra önlem olabilecek şeyler yapması (patpat ile sarıp extra bir kutuya koymak vb. gibi) gerekiyor bunun dışında ürün sorunsuz ve Türkiye garantili ve belirtmem gerekiyor 3 aylık normal game pass değil &quot; 3 aylık ultimate game pass &quot; çıktı benimkinden ve microsoftu arayıp , 1 senelik ea play üyeliği ile birleştirince bu kutudan çıkan kodu 12 aylık ultimate game pass üyeliğim oldu aklınızda olsun diye belirttim."
2021-04-04,5,"Öncelikle nethouse-hepsijet ekibine teşekkürler. Kargo inanılmaz hızlı geldi. Paketlemesi iyiydi sorunsuz teslim aldım. Konsola gelecek olursak, tr şartlarında fiyat performans olarak çok iyi diyebiliriz. Aynı ayarda bir bilgisayar toplamak çok çok daha pahalı olacaktır. Gamepass ile oynayabileceğiniz sürüyle oyun da cabası. Almak için tereddütü olanlara şiddetle tavsiye ederim harika bir deneyim sunuyor."
2022-05-11,5,"Selamlar,
Ürün elime ulaştı daha deneme fırsatım olmadı ama paketleme, hızlı teslim diğer süreçler hakkında gayet başarılı bir alisveristi, çok teşekkürler."
2021-10-10,5,"Satıcı ürünü çok iyi paketlemiş ve teslimat hızlıydı, özenli ve hassas davranılmış.
Ürünü yaklaşık 1 aydır kullanıyorum ve herhangi bir ısınma yada başka bir sorunla karşılaşmadım.
Gamepass kodu içinde ve kullanıma hazırdı, üründen çok memnunum alınmasını tavsiye ederim."
2021-03-07,5,"Perşembe sipariş cumartesi teslimat, teslimat adresini de eski adresim seçmişim sonradan değişiklik de olmuyormuş, teslimat için arama kaydı bıraktım ve aradılar gidip teslim aldım, ilgi alaka için teşekkürler, ürünü anlatmaya zaten gerek yok fakat hediye kodu aktifleştiremedim sanıyorum bişeyi yanlış yaptım tekrar girince de daha önce kullanılmış dedi, o can sıkıcı oldu, müşteri hizmetlerini arayıp çözmeye çalışacağım"
2021-03-21,5,Nethouse ve hepsijet ikilisi harika. Cihazdan memnunum gamepass te bir çok oyuna erişebiliyorum ve keyifle oynuyorum. Televizyonum HD olduğu için UltraHD modellere bakmadım. Hafızada sorun yaşamıyorum 100Mbit İnternetim var. fakat düşük İnternet bağlantısı olanlar 1tb versiyonu tercih edebilir.
2022-04-21,5,Ürün elime hızlı ve özenle paketlenmiş şekilde ulaştı herşey yazıldığı gibi iç rahatlığı ile alabilirsiniz
2021-08-23,5,Ürün inanılmaz hızlı ve sağlam geldi. Teşekkür ederim. Bence Xbox u yedek kolunu ve game pass üyeliğini tek seferde almak ve direk oyuna başlamak çok keyifli 😎
2022-05-09,5,paket özensizdi onun dışında olumsuz bir durum yok
2021-04-10,5,Exclusive oyunlara takıntılı biri değilseniz gönül rahatlığıyla alabilirsiniz. Bunun yanında bir de tam bir yıllık game pass üyeliği var. Neredeyse 500 den fazla oyunu bir yıl boyunca ücret vermeden oynayabiliyorsunuz. Konsol da geriye dönük oyun oynatma sistemi de var yani eski X box oyunlarının hepsini oynatabiliyor.
